adress,frequency
"Борисовский проезд, 14 стр.2",1
"115551, Москва, Шипиловский проезд, 39,к3",1
"Генерала Белова ул, 43 стр.2",1
"Генерала Белова ул, 5",1
"Каширское ш, 142 стр.1",1
"Ореховый б-р, 61 стр.2",1
"Шипиловский проезд, 65 стр.1",1
"Генерала Белова ул, 59",1
"115573, Москва г, Ореховый б-р, дом № 31",1
"115573, Москва г, Ореховый б-р, дом № 43",1
"115682, Москва г, Задонский проезд, дом № 36, корпус 2",1
"Борисовский проезд, 11 стр.А",1
"Борисовский проезд, 40",1
"Борисовский проезд, 5",1
"Воронежская ул, 9",1
"Генерала Белова ул, 20",1
"Генерала Белова ул, 28 стр.4",1
"Генерала Белова ул, 29",1
"Гурьевский проезд, 15 стр.1",1
"Гурьевский проезд, 25",1
"Домодедовская ул, 12 стр.1",1
"Домодедовская ул, 4",1
"Домодедовская ул, 42",1
"Елецкая ул, 35 стр.2А",1
"Каширское ш, 118",1
"Каширское ш, 96 стр.1",1
"Маршала Захарова ул, 16 стр.2",1
"Маршала Захарова ул, 5",1
"Мусы Джалиля ул, 15 строение 2",1
"Мусы Джалиля ул, 20",2
"Мусы Джалиля ул, 27",2
"Мусы Джалиля ул, 36 стр.3",2
"Мусы Джалиля ул, 4",1
"Ореховый б-р, 12 стр.2А",1
"Ореховый б-р, 9",2
"Ореховый проезд, 35 стр.2",2
"Ореховый проезд, 9",2
"Шипиловская ул, 13 стр.2",2
"Шипиловская ул, 23",1
"Шипиловская ул, 36",2
"Шипиловская ул, 62А",2
"Шипиловский проезд, 39 стр.2",1
"Шипиловский проезд, 43 стр.3",2
"Шипиловский проезд, 59  стр.3",1
"Ясеневая ул, 12 стр.2",2
"Ясеневая ул, 31",2
"Ясеневая ул, 39",2
"Ясеневая ул, 40",1
"Борисовский проезд, 15 стр.1/2",1
"Генерала Белова ул, 23",1
"Маршала Захарова ул, 2 стр.1",1
"Ореховый б-р, 71 стр.2",1
